concept_name,count_questions,count_modules,count_courses,count_enterprises,courses_title,
Risk,47,41,41,4, Abel - Air Quality or Dust or Other Airborne Contaminants PHMP; Abel - Fire or Explosion PHMP; Abel - Mechanical Engineering Control Plan; Abel Inundation or Inrush Principle Hazard Management Plan; ABEL MINE GROUND OR STRATA FAILURE PRINCIPAL HAZARD MANAGEMENT PLAN Underground; Abel Mine Ground or Strata Failure Principle Hazard Management Plan (Surface); Access to Low Voltage Conductors SOP; Ashton Coal Operations - Manage the Risk of Falls and Working at Height; Ashton Coal Operations - Mechanical Engineering Control Plan; Ashton Coal Operations - Risk Management Procedure; Austar - Air Quality or Dust or Other Airborne Contaminants PHMP; Austar - Emergency Preparedness Procedure; Austar - Fire or Explosion PHMP; Austar - Mechanical Engineering Control Plan; Building Independence; Core Hazard #5 - Fire and Explosion; Core Hazard #7B - Ground or Strata (Underground); Engineering Services Induction; Hazardous Substances SOP; MTW - PHMP Fire or Explosion; MTW Electrical Hazard Awareness; MTW PCP - Explosives; Operation of Vehicles and Mobile Equipment SOP; PCP - Health; Post Blast Fume SOP; Risk Management Awareness- Online course; Stockpile Operations; Stockpile Pedestrian Safety Spontaneous Combustion; Maintenance and Repair of Bins; Hoppers and Chutes SOP; TEST; Understanding Food Safety Programs; Understanding Food Safety Programs Internal Use; Yarrabee - SOP 01 - Using Mobile Plant and Equipment; Yarrabee - SOP 02 - Isolation and Tagging; Yarrabee - SOP 06 - Safe Work Area; Yarrabee - SOP 07 - Flammable and Toxic Gas; Yarrabee - SOP 12 - Load; Haul & Dump Operations; Yarrabee - Std 11 - RPL- Onsite Refresher; Yarrabee SOP 01 -  Using Mobile Plant and Equipment; Yarrabee SOP 01 -  Using Mobile Plant and Equipment Copy; Yarrabee SOP 02 - Isolation and Tagging; Yarrabee SOP 06 - Safe Work Area; Yarrabee SOP 07 - Flammable and Toxic Gas,
Mining,75,41,39,1, Abel - Electrical Engineering Control Plan; Abel - Health Control Plan; Abel - Isolation Procedure; Abel - Lightning and Earthing Management Plan; Abel - Mechanical Engineering Control Plan; Abel - Underground Portable Electrical Apparatus Procedure; Abel - Ventilation Control Plan; Ashton Coal Operations - Mechanical Engineering Control Plan; Ashton Coal Operations - UG Portable Electrical Apparatus Procedure; Austar - Electrical Engineering Control Plan; Austar - Emergency Incident Management; Austar - Emergency Preparedness Procedure; Austar - Energy Isolation Procedure - Individual Isolator; Austar - Health Control Principal Control Plan; Austar - Lightning and Earthing Management Plan; Austar - Mechanical Engineering Control Plan; Austar - Underground Portable Electrical Apparatus; Austar - Ventilation Principal Control Plan; Core Hazard #15B - Vehicle Interactions (Underground); Core Hazard #1B - Airborne Dust and Contaminants (Underground); Core Hazard #4B - Exposure to Energised Plant and Equipment (Underground); Core Hazard #6 - Gas Outburst; Core Hazard #7A - Ground or Strata (Surface); Core Hazard #7B - Ground or Strata (Underground); Core Hazard #9B - Inrush; Inundation and Storage Dams (Underground); Flammable and Toxic Gas SOP; MTW - PHMP Air Quality or other Airborne Contaminants; MTW - PHMP Spontaneous Combustion; MTW PHMP - Roads & other Vehicles Operating Areas; PCP - Health; Post Blast Fume SOP; Re-Closure After Faults SOP; Tyre Disposal SOP; Workplace Inspections and Access Control SOP; Yarrabee - SOP 05 - Health and Hygiene; Yarrabee - SOP 11 - Shotfiring; Yarrabee - SOP 12 - Load; Haul & Dump Operations; Yarrabee - Std 11 - RPL- Onsite Refresher; Yarrabee SOP 05 - Health and Hygiene,
Machine,59,33,33,2, Abel - Air Quality or Dust or Other Airborne Contaminants PHMP; Abel - Underground Portable Electrical Apparatus Procedure; Abel - Ventilation Control Plan; Access to High Voltage Conductors SOP; Ashton Coal Operations - Mechanical Engineering Control Plan; Ashton Coal Operations - UG Portable Electrical Apparatus Procedure; Austar - Air Quality or Dust or Other Airborne Contaminants PHMP; Austar - Underground Portable Electrical Apparatus; Austar - Ventilation Principal Control Plan; Brake Testing on Fixed and Mobile Plant SOP; Core Hazard #10 - Lifting; Cranage & Suspended Loads; Core Hazard #12 - Stockpile and Reclaim Tunnels; Core Hazard #15A - Vehicle Interactions (Surface); Core Hazard #16 - Working at Heights; Core Hazard #7A - Ground or Strata (Surface); Flammable and Toxic Gas SOP; Hot Work SOP; Mobile Equipment Operation Fundamentals; Modifications to Electrical Control Systems SOP; Modifying; Servicing; Maintenance and Assembly of Plant and Equipment SOP; Movement of Plant and Supplies SOP; MTW PHMP - Roads & other Vehicles Operating Areas; Operation of Vehicles and Mobile Equipment SOP; Site Traffic Rules SOP; Stockpile Operations; Stockpile Pedestrian Safety Spontaneous Combustion; Maintenance and Repair of Bins; Hoppers and Chutes SOP; The Claw Ride Attendant - Online Assessment; Towing of Vehicles and Equipment SOP; Yarrabee - SOP 01 - Using Mobile Plant and Equipment; Yarrabee - SOP 02 - Isolation and Tagging; Yarrabee - Std 11 - RPL- Onsite Refresher; Yarrabee SOP 01 -  Using Mobile Plant and Equipment; Yarrabee SOP 01 -  Using Mobile Plant and Equipment Copy; Yarrabee SOP 02 - Isolation and Tagging,
Vehicle,69,30,30,2, Abel - Ventilation Control Plan; Ashton ROVOA; Austar - Emergency Preparedness Procedure; Brake Testing on Fixed and Mobile Plant SOP; Core Hazard #15A - Vehicle Interactions (Surface); Core Hazard #15B - Vehicle Interactions (Underground); Design and Construction of Roads SOP; Engineering Services Induction; Explosive and Blasting Emergency Response SOP; Explosive Decontamination; Maintenance and Inspection SOP; Hazardous Tyres SOP; Inspections of Explosive Vehicles and Equipment SOP; Movement of Plant and Supplies SOP; MTW PHMP - Roads & other Vehicles Operating Areas; Operation of Vehicles and Mobile Equipment SOP; Recovery of Vehicles and Mobile Equipment SOP; Safe Loading and Discharge of Loads SOP; Site Traffic Rules SOP; TEST; Towing of Vehicles and Equipment SOP; Transport and Storage of Explosives SOP; Vehicle Policy; Vehicles and Equipment Near Electrical Installations SOP; Working Near Crests and Slopes Procedure; Yancoal Vehicle Policy; Yarrabee - SOP 01 - Using Mobile Plant and Equipment; Yarrabee - SOP 17 - Lifting Operations; Yarrabee - Std 11 - RPL- Onsite Refresher; Yarrabee SOP 01 -  Using Mobile Plant and Equipment; Yarrabee SOP 01 -  Using Mobile Plant and Equipment Copy,
Control theory,36,29,29,3, Austar - Ventilation Principal Control Plan; Core Hazard #10 - Lifting; Cranage & Suspended Loads; Core Hazard #11 - Mine Shafts and Winding Systems; Core Hazard #12 - Stockpile and Reclaim Tunnels; Core Hazard #13 - Structures and Fixed Plant; Core Hazard #14 - Tyres; Core Hazard #15A - Vehicle Interactions (Surface); Core Hazard #15B - Vehicle Interactions (Underground); Core Hazard #16 - Working at Heights; Core Hazard #1B - Airborne Dust and Contaminants (Underground); Core Hazard #2 - Confined Space; Core Hazard #3 - Explosives; Core Hazard #4A - Exposure to Energised Plant and Equipment (Surface); Core Hazard #4B - Exposure to Energised Plant and Equipment (Underground); Core Hazard #5 - Fire and Explosion; Core Hazard #6 - Gas Outburst; Core Hazard #7A - Ground or Strata (Surface); Core Hazard #7B - Ground or Strata (Underground); Core Hazard #9B - Inrush; Inundation and Storage Dams (Underground); Laser; Solar and Electromagnetic Radiation SOP; Modifications to Electrical Control Systems SOP; MTW PHMP - Roads & other Vehicles Operating Areas; PCP - Emergency Response for Workers; PCP - Health; Post Blast Fume SOP; Risk Management Awareness- Online course; Tie and Firing Shots SOP; Trauma Series; Workplace Amenities and Hygiene SOP,
Truth value,32,28,16,4, Connecting with Children; Dreamworld/WhiteWater World COVID - SAFE Training; Drug and Alcohol Management - Online course; Drug and Alcohol Management- Online course; Fraud Awareness - Online course; Handling Transitions and Separations; Hazardous Substances SOP; Relationships with Parents; Shockwave Ride Attendant - Online Assessment; SkyPoint COVID-SAFE Training; Social Media; Media & Celebrities - Online course; Social Media; Media & Celebrities - Online course Copy; Speech and Language Development Milestones; Trauma Series; Understanding Food Safety Programs; Understanding Food Safety Programs Internal Use,
Management,34,26,25,3, Abel - Defect Management Plan; Abel - Isolation Procedure; Austar - Defect Management Plan; Austar - Emergency Incident Management; Austar - Emergency Preparedness Procedure; Blast Design SOP; Bullying & Harassment - Online course; Drug and Alcohol Management - Online course; Equipment used for Maintaining Plant SOP; First Aid Specific to Accidents Involving Electricity SOP; Giant Drop Ride Attendant - Online Assessment; Modifying; Servicing; Maintenance and Assembly of Plant and Equipment SOP; MTW - PHMP Air Quality or other Airborne Contaminants; MTW - PHMP Fire or Explosion; MTW - PHMP Spontaneous Combustion; MTW PHMP - Roads & other Vehicles Operating Areas; PCP - Health; RSA Refresher; Shockwave Ride Attendant - Online Assessment; Tailspin - Online Assessment; Understanding Food Safety Programs; Understanding Food Safety Programs Internal Use; Whistleblower Policy; Yancoal Vehicle Policy; Yarrabee - Std 11 - RPL- Onsite Refresher,
Maxima and minima,28,24,24,2, Abel - Electrical Engineering Control Plan; Abel - Mechanical Engineering Control Plan; Ashton Coal Operations - Mechanical Engineering Control Plan; Austar - Electrical Engineering Control Plan; Austar - Emergency Response Management Procedure; Austar - Mechanical Engineering Control Plan; Brake Testing on Fixed and Mobile Plant SOP; Core Hazard #8 - High Voltage; DW ATT - 001b - Green Room Slide Attendant; DW ATT - 001b - Green Room Slide Attendant v2; Mobile Equipment Operation Fundamentals; Pandamonium Operator - Online Assessment; Pandamonium Ride Attendant - Online Assessment; Sky Voyager DH - Ride Operation; Sky Voyager Op - Ride Operation; Sky Voyager Opening Crew Online Assessment and Documentation; Sky Voyager Ride Attendant - Operations; SkyPoint COVID-SAFE Training; Yarrabee - HMP 13 - Working at Heights; Yarrabee - SOP 01 - Using Mobile Plant and Equipment; Yarrabee - SOP 11 - Shotfiring; Yarrabee - SOP 17 - Lifting Operations; Yarrabee SOP 01 -  Using Mobile Plant and Equipment; Yarrabee SOP 01 -  Using Mobile Plant and Equipment Copy,
Education,31,24,10,2, Building Independence; Conducting a Great Centre Tour; Connecting with Children; Handling Transitions and Separations; Relationships with Parents; Sensory Processing Series; Speech and Language Development Milestones; Trauma Series; Understanding Food Safety Programs; Understanding Food Safety Programs Internal Use,
Child,29,20,8,2, Ashton Coal Operations - Fatigue Management Procedure; Connecting with Children; Handling Transitions and Separations; Relationships with Parents; Sensory Processing Series; Speech and Language Development Milestones; Trauma Series; V2 - Sleep and Settling: Social-Emotional Development in Infants and Toddlers (Course 1),
Food safety,29,19,7,2, Food Safety - Online course; Microbiological Testing in Dairy Manufacturing; Microbiological Testing in Dairy Manufacturing Copy 2; Microbiological Testing in Dairy Manufacturing DRAFT; PASE - Demo; Understanding Food Safety Programs; Understanding Food Safety Programs Internal Use,
